Reviewer,Reviewee,Score,reviewer_role,reviewee_role
Allison Hill,Noah Rhodes,4,executive,executive
Allison Hill,Jamie Arnold,3,executive,executive
Allison Hill,Gina Moore,2,executive,executive
Allison Hill,Fred Smith,3,executive,executive
Allison Hill,Debra Davidson,5,executive,executive
Noah Rhodes,Elizabeth Fowler,1,manager,manager
Noah Rhodes,Judy Baker,2,manager,manager
Noah Rhodes,Debra Davidson,5,manager,manager
Noah Rhodes,Brittany Farmer,4,manager,manager
Noah Rhodes,Jamie Arnold,1,manager,manager
Angie Henderson,Gabrielle Davis,4,manager,manager
Angie Henderson,Fred Smith,3,manager,manager
Angie Henderson,Jamie Arnold,3,manager,manager
Angie Henderson,Anthony Humphrey,1,manager,manager
Angie Henderson,Judy Baker,1,manager,manager
Daniel Wagner,Jamie Arnold,2,intern,individual contributor
Daniel Wagner,Noah Rhodes,4,intern,individual contributor
Daniel Wagner,Zachary Hicks,2,intern,individual contributor
Daniel Wagner,Ethan Adams,3,intern,individual contributor
Daniel Wagner,Angie Henderson,5,intern,individual contributor
Cristian Santos,Ryan Munoz,2,intern,individual contributor
Cristian Santos,Nathan Maldonado,4,intern,individual contributor
Cristian Santos,Debra Davidson,5,intern,individual contributor
Cristian Santos,Jamie Arnold,2,intern,individual contributor
Cristian Santos,Judy Baker,2,intern,individual contributor
Connie Lawrence,Noah Rhodes,4,manager,manager
Connie Lawrence,Stephanie Ross,4,manager,manager
Connie Lawrence,Nathan Maldonado,3,manager,manager
Connie Lawrence,Tommy Walter,3,manager,manager
Connie Lawrence,Ryan Munoz,2,manager,manager
Abigail Shaffer,Fred Smith,3,intern,individual contributor
Abigail Shaffer,Elizabeth Fowler,2,intern,individual contributor
Abigail Shaffer,Ryan Munoz,4,intern,individual contributor
Abigail Shaffer,Nathan Maldonado,3,intern,individual contributor
Abigail Shaffer,Jeffrey Chavez,2,intern,individual contributor
Gina Moore,Brittany Farmer,4,executive,executive
Gina Moore,Rebecca Henderson,4,executive,executive
Gina Moore,Jamie Arnold,2,executive,executive
Gina Moore,Debra Davidson,5,executive,executive
Gina Moore,Paula Moreno,4,executive,executive
Gabrielle Davis,Allison Hill,1,manager,manager
Gabrielle Davis,Gina Moore,1,manager,manager
Gabrielle Davis,Judy Baker,2,manager,manager
Gabrielle Davis,Nathan Maldonado,4,manager,manager
Gabrielle Davis,Ryan Munoz,2,manager,manager
Ryan Munoz,Nathan Maldonado,3,executive,executive
Ryan Munoz,Jeffrey Chavez,2,executive,executive
Ryan Munoz,Judy Baker,2,executive,executive
Ryan Munoz,Angie Henderson,5,executive,executive
Ryan Munoz,Jamie Arnold,2,executive,executive
Monica Herrera,Debra Davidson,5,intern,individual contributor
Monica Herrera,Ethan Adams,2,intern,individual contributor
Monica Herrera,Stephanie Ross,4,intern,individual contributor
Monica Herrera,Patty Perez,4,intern,individual contributor
Monica Herrera,Gina Moore,1,intern,individual contributor
Jamie Arnold,Gina Moore,1,executive,executive
Jamie Arnold,Anthony Humphrey,2,executive,executive
Jamie Arnold,Fred Smith,3,executive,executive
Jamie Arnold,Lisa Hensley,2,executive,executive
Jamie Arnold,Noah Rhodes,5,executive,executive
Lisa Hensley,Jamie Arnold,2,executive,executive
Lisa Hensley,Gina Moore,1,executive,executive
Lisa Hensley,Judy Baker,2,executive,executive
Lisa Hensley,Anthony Humphrey,2,executive,executive
Lisa Hensley,Nathan Maldonado,3,executive,executive
Michele Williams,Elizabeth Fowler,2,executive,executive
Michele Williams,Debra Davidson,5,executive,executive
Michele Williams,Nathan Maldonado,4,executive,executive
Michele Williams,Lisa Hensley,4,executive,executive
Michele Williams,Gabrielle Davis,4,executive,executive
